id,publicar,nome,sigla,tipo_unidade,instituicao,sigla_instituicao,natureza_instituicao,unidade_vinculacao,area_principal,areas_secundarias,responsavel_nome,responsavel_cargo,email_contato,telefone_contato,url,endereco,cidade,uf,latitude,longitude,precisao_geo,relevancia,grau_verificacao,data_verificacao
ufrj-ippur,sim,Instituto de Pesquisa e Planejamento Urbano e Regional,IPPUR,instituto,Universidade Federal do Rio de Janeiro,UFRJ,universidade federal,Centro de Ciências Jurídicas e Econômicas,politicas_publicas,,Luis Regis Coli Silva Júnior,Diretor,direcao@ippur.ufrj.br,,https://ippur.ufrj.br/,"Sala João do Rio, Faculdade de Letras, Av. Horácio Macedo, 2151, Cidade Universitária, Ilha do Fundão, Rio de Janeiro, RJ, CEP 21941-917",Rio de Janeiro,RJ,-22.8595,-43.2295,campus,O instituto sedia o INCT Observatório das Metrópoles e produz pesquisa sobre planejamento urbano e regional e políticas públicas territoriais. Os estudos sobre desigualdade regional interessam à definição de critérios de atuação em regiões prioritárias.,verificado,2026-09-17
ufrj-observatorio-das-metropoles,sim,Observatório das Metrópoles,,observatório,Universidade Federal do Rio de Janeiro,UFRJ,universidade federal,"Instituto de Pesquisa e Planejamento Urbano e Regional, na condição de Instituto Nacional de Ciência e Tecnologia (INCT)",politicas_publicas,ciencia_de_dados,Orlando Alves dos Santos Junior,Coordenador titular,comunicacao@observatoriodasmetropoles.net,,https://www.observatoriodasmetropoles.net.br/,"Avenida Pedro Calmon, 550, Sala 537, Prédio da Reitoria, Cidade Universitária, Rio de Janeiro, RJ, CEP 21941-901",Rio de Janeiro,RJ,-22.8626,-43.2265,endereco,O observatório é rede nacional de núcleos de pesquisa em universidades das cinco regiões e produz indicadores como o Índice de Bem-Estar Urbano (IBEU).,verificado,2026-09-17
uerj-iesp,sim,Instituto de Estudos Sociais e Políticos,IESP,instituto,Universidade do Estado do Rio de Janeiro,UERJ,universidade estadual,Reitoria,politicas_publicas,,Fernando de Castro Fontainha,Diretor,iesp@iesp.uerj.br,(21) 2266-8300,https://iesp.uerj.br/,"Rua da Matriz, 82, Botafogo, Rio de Janeiro, RJ, CEP 22260-100",Rio de Janeiro,RJ,-22.91117,-43.23578,campus,Produz pesquisa sobre políticas públicas e desigualdade social.,verificado,2026-09-17
fgv-eaesp-ceapg,sim,Centro de Estudos em Administração Pública e Governo,CEAPG,centro,"Fundação Getulio Vargas, Escola de Administração de Empresas de São Paulo",FGV EAESP,universidade privada,Escola de Administração de Empresas de São Paulo,politicas_publicas,,Fernando Luiz Abrucio,Coordenador-geral,,(11) 3799-3799,https://eaesp.fgv.br/centros/centro-estudos-administracao-publica-e-governo,"Av. Nove de Julho, 2029, Bela Vista, São Paulo, SP, CEP 01313-902",São Paulo,SP,-23.5629,-46.646,endereco,O centro tem eixo de pesquisa em educação e faz avaliação de projetos sociais e formação de gestores públicos. É referência nacional em administração pública e pode ser interlocutor em avaliação de programas.,verificado,2026-09-17
unicamp-dpct,sim,Departamento de Política Científica e Tecnológica,DPCT,programa,Universidade Estadual de Campinas,UNICAMP,universidade estadual,Instituto de Geociências,politicas_publicas,,,,,,https://portal.ige.unicamp.br/,"Rua Carlos Gomes, 250, Cidade Universitária, Campinas, SP, CEP 13083-855",Campinas,SP,-22.8184,-47.0647,campus,"O departamento mantém a pós-graduação em política científica e tecnológica, área que trata de política de ciência e tecnologia, avaliação de programas de fomento e indicadores de CT&I.",parcial,2026-09-17
unicamp-lab-geopi,sim,Laboratório de Estudos sobre Organização da Pesquisa e da Inovação,Lab-GEOPI,laboratório,Universidade Estadual de Campinas,UNICAMP,universidade estadual,"Laboratório interunidades do Departamento de Política Científica e Tecnológica (DPCT) do Instituto de Geociências, da Faculdade de Ciências Aplicadas (FCA) e do Núcleo de Estudos de Políticas Públicas (NEPP)",politicas_publicas,ciencia_de_dados,Sérgio Luiz Monteiro Salles Filho,Coordenador,geopi@unicamp.br,(19) 3521-5124,https://www.ige.unicamp.br/geopi/,"Instituto de Geociências, sala 313, Rua Carlos Gomes, 250, Cidade Universitária, Campinas, SP, CEP 13083-855",Campinas,SP,-22.8184,-47.0647,campus,"O laboratório desenvolve e aplica métodos de avaliação de resultados e impactos de programas de ciência, tecnologia e inovação e de educação superior.",verificado,2026-09-17
unicamp-nepp,sim,Núcleo de Estudos de Políticas Públicas,NEPP,núcleo,Universidade Estadual de Campinas,UNICAMP,universidade estadual,,politicas_publicas,,Ana Maria Alves Carneiro da Silva,Coordenadora,nepp@unicamp.br,(19) 3521-2495,https://www.nepp.unicamp.br/,"Av. Albert Einstein, 1300, Cidade Universitária, Campinas, SP, CEP 13083-852",Campinas,SP,-22.8184,-47.0647,campus,O núcleo mantém linha de pesquisa em educação e em análise e avaliação de políticas públicas. Produz avaliações de programas governamentais e integra a Rede Brasileira de Monitoramento e Avaliação.,verificado,2026-09-17
ufscar-geplage,sim,"Grupo de Estudos e Pesquisas Estado, Políticas, Planejamento, Avaliação e Gestão da Educação",GEPLAGE,grupo de pesquisa,Universidade Federal de São Carlos,UFSCar,universidade federal,Campus Sorocaba,politicas_publicas,,Edna Cristina do Prado,Coordenadora,,(15) 3229-6130,https://www.geplage.ufscar.br/pt-br,"Rodovia João Leme dos Santos (SP-264), km 110, Itinga, Sorocaba, SP, CEP 18052-780",Sorocaba,SP,-23.5847,-47.5251,campus,"O grupo pesquisa planejamento, avaliação e gestão da educação, temas ligados ao PNE e aos indicadores de política educacional.",verificado,2026-09-17
unifesp-sou-ciencia,sim,"Centro de Estudos Sociedade, Universidade e Ciência",SoU_Ciência,centro,Universidade Federal de São Paulo,UNIFESP,universidade federal,Órgão complementar vinculado à Reitoria,politicas_publicas,ciencia_de_dados; divulgacao_cientifica,Soraya Smaili,Coordenadora geral,,,https://souciencia.unifesp.br/,,São Paulo,SP,-23.59927,-46.64309,campus,"O centro analisa políticas de educação superior e de ciência, tecnologia e inovação, incluindo expansão, financiamento e impacto social.",parcial,2026-09-17
ufabc-pgpp,sim,Programa de Pós-Graduação em Políticas Públicas,PGPP,programa,Universidade Federal do ABC,UFABC,universidade federal,"Centro de Engenharia, Modelagem e Ciências Sociais Aplicadas",politicas_publicas,,Diego Sanches Correa,Coordenador,pgpp@ufabc.edu.br,,https://sig.ufabc.edu.br/sigaa/public/programa/apresentacao.jsf?lc=pt_BR&id=217,,São Bernardo do Campo,SP,-23.67739,-46.56436,campus,"A UFABC mantém também o Bacharelado em Políticas Públicas, referência na formação de graduação na área.",verificado,2026-09-17
usp-cem,sim,Centro de Estudos da Metrópole,CEM,centro,Universidade de São Paulo,USP,universidade estadual,"Faculdade de Filosofia, Letras e Ciências Humanas, em parceria com o Centro Brasileiro de Análise e Planejamento (Cebrap)",politicas_publicas,ciencia_de_dados,,,centrodametropole@usp.br,(11) 3091-2097,https://centrodametropole.fflch.usp.br/pt-br,"Faculdade de Filosofia, Letras e Ciências Humanas, Cidade Universitária, São Paulo, SP",São Paulo,SP,-23.5613,-46.7307,campus,"O centro produz dados, indicadores e metodologias para políticas públicas e mantém plataformas de acesso livre com dados geolocalizados.",verificado,2026-09-17
usp-nupps,sim,Núcleo de Pesquisa de Políticas Públicas,NUPPs,núcleo,Universidade de São Paulo,USP,universidade estadual,Instituto de Estudos Avançados,politicas_publicas,,Janina Onuki,Coordenadora científica,,,https://sites.usp.br/nupps/,,São Paulo,SP,-23.5595,-46.7313,campus,O núcleo sucedeu o Núcleo de Pesquisas sobre Ensino Superior (NUPES) e reúne pesquisadores que estudam educação superior e políticas públicas. A pesquisadora Elizabeth Balbachevsky tem produção sobre política de educação superior e pós-graduação.,verificado,2026-09-17
uepg-geppea,sim,Grupo de Estudos e Pesquisas em Política Educacional e Avaliação,GEPPEA,grupo de pesquisa,Universidade Estadual de Ponta Grossa,UEPG,universidade estadual,Programa de Pós-Graduação em Educação (PPGE) e Programa de Pós-Graduação em Ensino de Ciências e Educação Matemática (PPGECEM),politicas_publicas,,,,,(42) 3220-3743,https://www2.uepg.br/geppea/,"Programa de Pós-Graduação em Educação (PPGE), Bloco do Centro Interdisciplinar de Pesquisa de Pós-Graduação (CIPP), Campus de Uvaranas, Av. General Carlos Cavalcanti, 4748, CEP 84030-900, Ponta Grossa, PR",Ponta Grossa,PR,-25.0916,-50.0993,campus,"Pesquisa políticas educacionais e avaliação educacional e institucional na educação básica e na educação superior, com projetos sobre avaliação em larga escala (Prova Paraná) e sobre avaliação educacional na formação de professores.",verificado,2026-09-17
ufrgs-cegov,sim,Centro de Estudos Internacionais sobre Governo,CEGOV,centro,Universidade Federal do Rio Grande do Sul,UFRGS,universidade federal,Reitoria da UFRGS (centro interdisciplinar vinculado à Reitoria),politicas_publicas,,Fabian Scholze Domingues,Diretor do CEGOV,executivo@cegov.ufrgs.br,+55 51 3308-9860,https://www.ufrgs.br/cegov/,"Campus do Vale, Prédio 43322, Av. Bento Gonçalves, 9500, CEP 91509-900, Porto Alegre, RS (sede). Anexo da Faculdade de Ciências Econômicas, Campus Centro, Av. João Pessoa, 52, CEP 90040-000, Porto Alegre, RS",Porto Alegre,RS,-30.0718,-51.1194,campus,"Mantém o GT Avaliação de Políticas Públicas e o GT Sociedade, Ciência e Tecnologia, com projetos de pesquisa aplicada para órgãos da administração pública federal, estadual e municipal. Referência em parceiro para avaliação de programas e para estudos sobre política de ciência e tecnologia.",verificado,2026-09-17
ufrgs-geu,sim,Grupo de Estudos sobre Universidade,GEU,grupo de pesquisa,Universidade Federal do Rio Grande do Sul,UFRGS,universidade federal,"Faculdade de Educação (FACED), Programa de Pós-Graduação em Educação (GEU/Ipesq), e Programa de Pós-Graduação em Sociologia (GEU/Sociologia)",politicas_publicas,,Sérgio Roberto Kieling Franco,Líder do GEU/Ipesq (PPGEdu/FACED),sergio.franco@ufrgs.br,+55 51 3308-6000,https://www.ufrgs.br/geu/,"Faculdade de Educação, Av. Paulo Gama, 110, prédio 12201, Bairro Farroupilha, CEP 90046-900, Porto Alegre, RS",Porto Alegre,RS,-30.0338,-51.2189,campus,"Pesquisa sistemas de educação superior, políticas de educação superior e sua relação com a educação básica, pós-graduação, formação de professores e internacionalização.",verificado,2026-09-17
ufsc-nipp,sim,Núcleo Interdisciplinar em Políticas Públicas e Opinião Pública,NIPP,núcleo,Universidade Federal de Santa Catarina,UFSC,universidade federal,"Centro de Filosofia e Ciências Humanas (CFH), Programa de Pós-Graduação em Sociologia e Ciência Política (PPGSP)",politicas_publicas,,"Julian Borba, Marcelo S. Serran de Pinho e Cintia Pinheiro Ribeiro de Souza",Coordenadores do NIPP,,,https://nipp.ufsc.br/,"Campus Universitário, Centro de Filosofia e Ciências Humanas, Bloco D, sala 307, Florianópolis, SC",Florianópolis,SC,-27.6006,-48.5197,campus,"Mantém linhas de pesquisa em políticas sociais, educação e gastos públicos, indicadores sociais e vulnerabilidade social, e métodos e técnicas de pesquisa, com produção de bancos de dados.",verificado,2026-09-17
udesc-callipolis,sim,Grupo de Pesquisa de Política Pública e Desenvolvimento,Callipolis,grupo de pesquisa,Universidade do Estado de Santa Catarina,UDESC,universidade estadual,Centro de Ciências da Administração e Socioeconômicas (ESAG),politicas_publicas,,Marcos Vinício Wink Junior e Leonardo Secchi,Líderes do grupo,dg.esag@udesc.br,(48) 3664-8200,https://www.udesc.br/esag/gruposdepesquisa/callipolis,"Av. Madre Benvenuta, 2037, Itacorubi, CEP 88035-901, Florianópolis, SC",Florianópolis,SC,-27.5908,-48.5142,campus,"Pesquisa formulação, implementação e avaliação de políticas públicas, atores, instituições e instrumentos de políticas.",verificado,2026-09-17
